Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0255,Regenerative carbon Alliance,Regenerative carbon Alliance,,K02,Kabianga,-0.452,35.18,Tea,Top Soil,Moist,,7.75,25.3,22.0,,52.7,NTu,1.0050000000000001,True,233.66250000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0256,Regenerative carbon Alliance,Regenerative carbon Alliance,,K03,Kabianga,-0.455,35.185,Tea,Top Soil,Moist,,5.6,15.3,16.0,,68.7,NTu,1.0050000000000001,True,168.84
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0257,Regenerative carbon Alliance,Regenerative carbon Alliance,,K04,Kabianga,-0.457,35.19,Tea,Top Soil,Moist,,4.91,19.3,20.0,,60.7,NTu,1.0050000000000001,True,148.03650000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0258,Regenerative carbon Alliance,Regenerative carbon Alliance,,K15,Kabianga,-0.47,35.17,Tea,Top Soil,Moist,,5.28,17.3,20.0,,62.7,NTu,1.0050000000000001,True,159.19200000000004
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0259,Regenerative carbon Alliance,Regenerative carbon Alliance,,K17,Kabianga,-0.48,35.165,Tea,Top Soil,Moist,,8.9,31.3,22.0,,46.7,NTu,1.0050000000000001,True,268.3350000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0260,Regenerative carbon Alliance,Regenerative carbon Alliance,,K20,Kabianga,-0.49,35.16,Tea,Top Soil,Moist,,5.16,21.3,22.0,,56.7,NTu,1.0050000000000001,True,155.57400000000004
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0261,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU022,Kabianga,-0.495,35.175,Tea,Top Soil,Moist,,4.26,23.3,20.0,,56.7,NTu,1.0050000000000001,True,128.43900000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0262,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA59,Kabianga,-0.4152,35.16187,Kale,Top Soil,Moist,,4.39,21.3,26.0,,52.7,NTu,1.0050000000000001,True,132.3585
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0265,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU023,Kabianga,-0.5,35.18,No crop,Top Soil,Moist,,3.77,17.3,20.0,,62.7,NTu,1.0050000000000001,True,113.6655
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0266,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU024,Kabianga,-0.502,35.182,Tea,Top Soil,Moist,,4.29,21.3,12.0,,66.7,NTu,1.0050000000000001,True,129.3435
