Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0263,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP66,Kipsigis,-0.60035,35.22877,Tea,Top Soil,Moist,,4.49,25.3,20.0,,54.7,NTu,1.0875,True,146.48624999999998
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0264,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP67,Kipsigis,-0.5972,35.25127,No crop,Top Soil,Moist,,2.9,11.3,20.0,,68.7,NTu,1.0875,True,94.61249999999998
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0149,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP50,Kipsigis,-0.614858,35.25533,Tea,Top Soil,Moist,,4.28,21.6,25.6,1.16,52.8,NTu,1.16,False,148.94400000000002
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0150,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP51,Kipsigis,-0.617925,35.28242,Tea,Top Soil,Moist,,4.03,25.6,25.6,1.03,48.8,NTu,1.03,False,124.52700000000002
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0151,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP52,Kipsigis,-0.602682,35.25003,"Tea, Sweet potato",Top Soil,Moist,,2.52,23.6,19.6,1.13,56.8,NTu,1.13,False,85.428
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0152,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP54,Kipsigis,-0.601893,35.24019,Tea,Top Soil,Moist,,6.05,23.6,27.6,1.03,48.8,NTu,1.03,False,186.945
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0153,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP56,Kipsigis,-0.600335,35.22866,Tea,Top Soil,Moist,,3.71,21.6,27.6,,50.8,NTu,1.0875,True,121.03875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0154,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP57,Kipsigis,-0.59136,35.23817,Tea,Top Soil,Moist,,5.31,19.6,25.6,,54.8,NTu,1.0875,True,173.23874999999998
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0155,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP58,Kipsigis,-0.58694,35.23189,Kale,Top Soil,Moist,,4.26,17.6,23.6,,58.8,NTu,1.0875,True,138.9825
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0156,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP59,Kipsigis,-0.58308,35.22897,Tea,Top Soil,Moist,,3.83,3.28,19.3,,77.42,NTu,1.0875,True,124.95375
