Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0237,Regenerative carbon Alliance,Regenerative carbon Alliance,,L32,Lanyuak,-0.75,35.89,Potato,Top Soil,Moist,,2.98,25.3,32.0,,42.7,ANm,0.9766666666666667,True,87.31400000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0165,Regenerative carbon Alliance,Regenerative carbon Alliance,,L50,Lanyuak,-0.82708,35.88881,Canola,Top Soil,Moist,,2.92,25.6,33.6,,40.8,ANm,0.9766666666666667,True,85.556
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0166,Regenerative carbon Alliance,Regenerative carbon Alliance,,L52,Lanyuak,-0.81392,35.89258,Avocado,Top Soil,Moist,,3.72,27.6,31.6,,40.8,ANm,0.9766666666666667,True,108.99600000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0167,Regenerative carbon Alliance,Regenerative carbon Alliance,,L53,Lanyuak,-0.8155,35.8922,Irish Potato,Top Soil,Moist,,4.19,27.6,35.6,,36.8,ANm,0.9766666666666667,True,122.76700000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0168,Regenerative carbon Alliance,Regenerative carbon Alliance,,L54,Lanyuak,-0.82103,35.88889,No crop,Top Soil,Moist,,4.83,27.6,33.6,,38.8,ANm,0.9766666666666667,True,141.519
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0169,Regenerative carbon Alliance,Regenerative carbon Alliance,,L55,Lanyuak,-0.82472,35.90103,Irish Potato,Top Soil,Moist,,3.85,25.6,31.6,,42.8,ANm,0.9766666666666667,True,112.805
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0170,Regenerative carbon Alliance,Regenerative carbon Alliance,,L56,Lanyuak,-0.80044,35.896,Cabbage,Top Soil,Moist,,4.95,31.3,30.0,,38.7,ANm,0.9766666666666667,True,145.03500000000003
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0171,Regenerative carbon Alliance,Regenerative carbon Alliance,,L57,Lanyuak,-0.79433,35.8938,Potato,Top Soil,Moist,,4.62,29.3,34.0,0.93,36.7,ANm,0.93,False,128.898
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0172,Regenerative carbon Alliance,Regenerative carbon Alliance,,L58,Lanyuak,-0.78786,35.89042,Corn,Top Soil,Moist,,4.89,29.3,30.0,0.9,40.7,ANm,0.9,False,132.03
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0173,Regenerative carbon Alliance,Regenerative carbon Alliance,,L59,Lanyuak,-0.78242,35.89213,Potato,Top Soil,Moist,,4.19,25.3,34.0,0.96,40.7,ANm,0.96,False,120.672
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0174,Regenerative carbon Alliance,Regenerative carbon Alliance,,L60,Lanyuak,-0.78267,35.893,Corn,Top Soil,Moist,,4.24,31.3,26.0,1.05,42.7,ANm,1.05,False,133.56
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0175,Regenerative carbon Alliance,Regenerative carbon Alliance,,L61,Lanyuak,-0.77419,35.89103,Potato,Top Soil,Moist,,5.54,27.3,32.0,0.95,40.7,ANm,0.95,False,157.89
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0176,Regenerative carbon Alliance,Regenerative carbon Alliance,,L62,Lanyuak,-0.76992,35.88869,"Onion, Arrowroots",Top Soil,Moist,,4.32,27.3,32.0,1.07,40.7,ANm,1.07,False,138.67200000000003
