Sample_Code,Cooperative,FAO_type,Crop_raw,param_source,clay_pct,SOC_tCha,BD_gcm3,BD_was_imputed,crop_yield,param_note,output_file
CR442SA0237,Lanyuak,ANm,Potato,Potato,42.7,87.314,0.9767,True,20.2343,,CR442SA0237.csv
CR442SA0238,Eor Emayian,ANm,Potato,Potato,44.7,79.426,0.9663,True,4.448,,CR442SA0238.csv
CR442SA0239,Mumberes,NTu,Corn,Maize,48.7,157.106,1.0208,True,7.413,,CR442SA0239.csv
CR442SA0240,Mumberes,NTu,Corn,Maize,56.7,157.106,1.0208,True,7.413,,CR442SA0240.csv
CR442SA0241,Mumberes,NTu,Potato,Potato,58.7,129.237,1.0208,True,4.448,,CR442SA0241.csv
CR442SA0242,Mumberes,NTu,Potato,Potato,56.7,142.713,1.0208,True,4.448,,CR442SA0242.csv
CR442SA0243,Mumberes,NTu,Corn,Maize,62.7,97.387,1.0208,True,7.413,,CR442SA0243.csv
CR442SA0244,Mumberes,NTu,Peas,Beans,64.7,115.456,1.0208,True,0.526,Beans proxy: Lanyuak Barley params (no Beans in Mumberes NTu block),CR442SA0244.csv
CR442SA0245,Mumberes,NTu,Irish Potato,Potato,64.7,116.987,1.0208,True,4.448,,CR442SA0245.csv
CR442SA0246,Mumberes,NTu,Corn,Maize,64.7,145.162,1.0208,True,7.413,,CR442SA0246.csv
CR442SA0247,Mumberes,NTu,No crop,stratum_avg,52.7,89.731,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0247.csv
CR442SA0248,Mumberes,NTu,Corn,Maize,52.7,127.706,1.0208,True,7.413,,CR442SA0248.csv
CR442SA0249,Mumberes,NTu,Corn,Maize,56.7,174.869,1.0208,True,7.413,,CR442SA0249.csv
CR442SA0250,Mumberes,NTu,Corn,Maize,58.7,96.775,1.0208,True,7.413,,CR442SA0250.csv
CR442SA0251,Mumberes,NTu,Corn,Maize,70.7,129.544,1.0208,True,7.413,,CR442SA0251.csv
CR442SA0252,Mumberes,NTu,Corn,Maize,62.7,182.831,1.0208,True,7.413,,CR442SA0252.csv
CR442SA0253,Mumberes,NTu,Kale,stratum_avg,54.7,162.619,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0253.csv
CR442SA0254,Mumberes,NTu,Kale,stratum_avg,68.7,132.3,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0254.csv
CR442SA0255,Kabianga,NTu,Tea,Tea,52.7,233.663,1.005,True,18.73284,,CR442SA0255.csv
CR442SA0256,Kabianga,NTu,Tea,Tea,68.7,168.84,1.005,True,18.73284,,CR442SA0256.csv
CR442SA0257,Kabianga,NTu,Tea,Tea,60.7,148.037,1.005,True,18.73284,,CR442SA0257.csv
CR442SA0258,Kabianga,NTu,Tea,Tea,62.7,159.192,1.005,True,18.73284,,CR442SA0258.csv
CR442SA0259,Kabianga,NTu,Tea,Tea,46.7,268.335,1.005,True,18.73284,,CR442SA0259.csv
CR442SA0260,Kabianga,NTu,Tea,Tea,56.7,155.574,1.005,True,18.73284,,CR442SA0260.csv
CR442SA0261,Kabianga,NTu,Tea,Tea,56.7,128.439,1.005,True,18.73284,,CR442SA0261.csv
CR442SA0262,Kabianga,NTu,Kale,stratum_avg,52.7,132.358,1.005,True,13.07292,Stratum average: mean of Tea and Maize params,CR442SA0262.csv
CR442SA0263,Kipsigis,NTu,Tea,Tea,54.7,146.486,1.0875,True,20.75688,,CR442SA0263.csv
CR442SA0264,Kipsigis,NTu,No crop,stratum_avg,68.7,94.612,1.0875,True,20.75688,Stratum average == Tea params (only defined crop in Kipsigis),CR442SA0264.csv
CR442SA0265,Kabianga,NTu,No crop,stratum_avg,62.7,113.665,1.005,True,13.07292,Stratum average: mean of Tea and Maize params,CR442SA0265.csv
CR442SA0266,Kabianga,NTu,Tea,Tea,66.7,129.344,1.005,True,18.73284,,CR442SA0266.csv
CR442SA0267,Kabianga,NTu,No crop,stratum_avg,32.7,38.592,1.005,True,13.07292,Stratum average: mean of Tea and Maize params,CR442SA0267.csv
CR442SA0268,Kabianga,NTu,Tea,Tea,62.7,97.083,1.005,True,18.73284,,CR442SA0268.csv
CR442SA0269,Eor Emayian,ANm,Corn,Maize,36.7,75.947,0.9663,True,2.8911,,CR442SA0269.csv
CR442SA0096,Eor Emayian,ANm,No crop,stratum_avg,42.8,104.065,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0096.csv
CR442SA0097,Eor Emayian,ANm,No crop,stratum_avg,44.8,87.832,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0097.csv
CR442SA0098,Eor Emayian,ANm,"Avocado,peas,beans",stratum_avg,38.8,157.692,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0098.csv
CR442SA0099,Eor Emayian,ANm,Maize,Maize,44.8,100.297,0.9663,True,2.8911,,CR442SA0099.csv
CR442SA0100,Eor Emayian,ANm,Beetroot,stratum_avg,30.8,142.039,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0100.csv
CR442SA0101,Eor Emayian,ANm,No crop,stratum_avg,44.8,86.673,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0101.csv
CR442SA0102,Eor Emayian,ANm,No crop,stratum_avg,42.8,96.239,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0102.csv
CR442SA0103,Eor Emayian,ANm,Corn,Maize,40.8,116.958,1.01,False,2.8911,,CR442SA0103.csv
CR442SA0104,Eor Emayian,ANm,No crop,stratum_avg,40.8,115.66,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0104.csv
CR442SA0105,Eor Emayian,ANm,No crop,stratum_avg,40.8,152.322,1.06,False,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0105.csv
CR442SA0106,Eor Emayian,ANm,Potato,Potato,34.8,152.474,0.9663,True,4.448,,CR442SA0106.csv
CR442SA0107,Eor Emayian,ANm,No crop,stratum_avg,42.8,109.573,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0107.csv
CR442SA0108,Eor Emayian,ANm,No crop,stratum_avg,54.8,71.599,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0108.csv
CR442SA0109,Eor Emayian,ANm,No crop,stratum_avg,34.8,75.947,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0109.csv
CR442SA0110,Eor Emayian,ANm,No crop,stratum_avg,42.8,76.527,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0110.csv
CR442SA0111,Eor Emayian,ANm,Potato,Potato,40.8,173.259,0.93,False,4.448,,CR442SA0111.csv
CR442SA0112,Eor Emayian,ANm,Cabbage,stratum_avg,36.8,141.201,0.87,False,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0112.csv
