Stratum_soil,Year,A_h_ha,n_h,Delta_bar_h_t,s2_sampling_h_t,s_sampling_h_t,note
ANm,2026,9023.0,61,,0.0,0.0,
ANm,2027,9023.0,61,44.310836,319545318.4205,17875.8306,
ANm,2028,9023.0,61,24.973386,93345254.1043,9661.5348,
ANm,2029,9023.0,61,16.961902,39481240.8178,6283.41,
ANm,2030,9023.0,61,12.628846,20023814.4081,4474.7977,
ANm,2031,9023.0,61,10.204438,12103652.5419,3479.0304,
ANm,2032,9023.0,61,8.782849,8460423.7913,2908.6808,
ANm,2033,9023.0,61,7.893814,6568793.8654,2562.9658,
ANm,2034,9023.0,61,7.291111,5462312.2728,2337.159,
ANm,2035,9023.0,61,6.845117,4736642.9045,2176.383,
ANm,2036,9023.0,61,6.4873,4209683.6013,2051.7513,
ANm,2037,9023.0,61,6.181263,3794629.7435,1947.9809,
ANm,2038,9023.0,61,5.907556,3448197.3947,1856.9323,
ANm,2039,9023.0,61,5.65568,3147885.0857,1774.228,
ANm,2040,9023.0,61,5.419873,2881430.2144,1697.4776,
ANm,2041,9023.0,61,5.196884,2641737.9798,1625.3424,
ANm,2042,9023.0,61,4.984802,2424383.8928,1557.0433,
ANm,2043,9023.0,61,4.78243,2226363.8447,1492.1005,
ANm,2044,9023.0,61,4.588961,2045460.4374,1430.1959,
ANm,2045,9023.0,61,4.4038,1879917.3569,1371.1008,
ANm,2046,9023.0,61,4.226474,1728268.99,1314.6364,
ANm,2047,9023.0,61,4.05658,1589248.8355,1260.6541,
ANm,2048,9023.0,61,3.893764,1461738.2334,1209.0237,
ANm,2049,9023.0,61,3.737698,1344735.968,1159.6275,
ANm,2050,9023.0,61,3.58808,1237338.873,1112.3573,
ANm,2051,9023.0,61,3.444626,1138728.4032,1067.1122,
ANm,2052,9023.0,61,3.307067,1048160.5862,1023.7971,
ANm,2053,9023.0,61,3.175146,964958.0032,982.3228,
ANm,2054,9023.0,61,3.048622,888503.0863,942.6044,
ANm,2055,9023.0,61,2.927262,818232.3382,904.562,
ANm,2056,9023.0,61,2.810847,753631.2492,868.1194,
ANm,2057,9023.0,61,2.699166,694229.7749,833.2045,
ANm,2058,9023.0,61,2.592019,639598.2829,799.7489,
ANm,2059,9023.0,61,2.489213,589343.9036,767.6874,
ANm,2060,9023.0,61,2.390568,543107.2364,736.9581,
ANm,2061,9023.0,61,2.295907,500559.3699,707.5022,
ANm,2062,9023.0,61,2.205064,461399.1841,679.2637,
ANm,2063,9023.0,61,2.117879,425350.904,652.1893,
ANm,2064,9023.0,61,2.034201,392161.8804,626.2283,
ANm,2065,9023.0,61,1.953884,361600.5743,601.3323,
NTh,2026,333.77,13,,0.0,0.0,
NTh,2027,333.77,13,50.198334,2224897.4281,1491.609,
NTh,2028,333.77,13,26.688158,578009.3843,760.2693,
NTh,2029,333.77,13,17.005832,212994.6037,461.5134,
NTh,2030,333.77,13,11.830928,92336.6493,303.8695,
NTh,2031,333.77,13,8.988871,47997.1363,219.0825,
NTh,2032,333.77,13,7.36852,29656.6552,172.2111,
NTh,2033,333.77,13,6.39422,21072.6668,145.1643,
NTh,2034,333.77,13,5.765248,16525.4002,128.5512,
NTh,2035,333.77,13,5.323659,13805.3187,117.496,
NTh,2036,333.77,13,4.98615,11981.791,109.4614,
NTh,2037,333.77,13,4.708595,10633.6339,103.1195,
NTh,2038,333.77,13,4.467476,9559.1116,97.7707,
NTh,2039,333.77,13,4.250145,8656.9064,93.0425,
NTh,2040,333.77,13,4.049691,7873.6925,88.7338,
NTh,2041,333.77,13,3.862242,7179.821,84.7338,
NTh,2042,333.77,13,3.685542,6557.6422,80.9793,
NTh,2043,333.77,13,3.518199,5995.7646,77.4323,
NTh,2044,333.77,13,3.35929,5486.1834,74.0688,
NTh,2045,333.77,13,3.208148,5022.8222,70.8719,
NTh,2046,333.77,13,3.064255,4600.7783,67.829,
NTh,2047,333.77,13,2.927175,4215.922,64.9301,
NTh,2048,333.77,13,2.796532,3864.6761,62.1665,
NTh,2049,333.77,13,2.671984,3543.8875,59.5306,
NTh,2050,333.77,13,2.553217,3250.7473,57.0153,
NTh,2051,333.77,13,2.439939,2982.7374,54.6144,
NTh,2052,333.77,13,2.331878,2737.5905,52.322,
NTh,2053,333.77,13,2.228776,2513.2607,50.1324,
NTh,2054,333.77,13,2.130391,2307.8978,48.0406,
NTh,2055,333.77,13,2.036492,2119.8269,46.0416,
NTh,2056,333.77,13,1.946864,1947.5297,44.1308,
NTh,2057,333.77,13,1.861302,1789.629,42.304,
NTh,2058,333.77,13,1.77961,1644.8744,40.5571,
NTh,2059,333.77,13,1.701604,1512.1298,38.8861,
NTh,2060,333.77,13,1.62711,1390.3622,37.2876,
NTh,2061,333.77,13,1.555963,1278.632,35.758,
NTh,2062,333.77,13,1.488003,1176.0837,34.2941,
NTh,2063,333.77,13,1.423084,1081.9382,32.8928,
NTh,2064,333.77,13,1.361061,995.4853,31.5513,
NTh,2065,333.77,13,1.301802,916.0775,30.2668,
NTu,2026,26012.5,100,,0.0,0.0,
NTu,2027,26012.5,100,49.357817,1052667408.0398,32444.8364,
NTu,2028,26012.5,100,26.007639,287256605.3403,16948.6461,
NTu,2029,26012.5,100,16.376985,112453528.8922,10604.4108,
NTu,2030,26012.5,100,11.220156,52514043.3543,7246.6574,
NTu,2031,26012.5,100,8.380693,29506303.1938,5431.9705,
NTu,2032,26012.5,100,6.756462,19551296.4656,4421.6848,
NTu,2033,26012.5,100,5.776247,14693158.9964,3833.1657,
NTu,2034,26012.5,100,5.14146,12022100.2909,3467.2901,
NTu,2035,26012.5,100,4.69513,10369916.6505,3220.2355,
NTu,2036,26012.5,100,4.35435,9227826.7262,3037.7338,
NTu,2037,26012.5,100,4.0751,8359655.6577,2891.3069,
NTu,2038,26012.5,100,3.833834,7650352.284,2765.927,
NTu,2039,26012.5,100,3.617811,7041595.6551,2653.6005,
NTu,2040,26012.5,100,3.420004,6502619.0344,2550.0233,
NTu,2041,26012.5,100,3.236417,6016390.9251,2452.8332,
NTu,2042,26012.5,100,3.064671,5572877.5739,2360.6943,
NTu,2043,26012.5,100,2.90326,5165695.1886,2272.8166,
NTu,2044,26012.5,100,2.751151,4790423.3161,2188.7036,
NTu,2045,26012.5,100,2.607577,4443744.2945,2108.019,
NTu,2046,26012.5,100,2.471926,4122997.5246,2030.5166,
NTu,2047,26012.5,100,2.34368,3825943.6643,1956.002,
NTu,2048,26012.5,100,2.222381,3550635.9187,1884.3131,
NTu,2049,26012.5,100,2.107617,3295346.5487,1815.3089,
NTu,2050,26012.5,100,1.99901,3058522.3029,1748.8631,
NTu,2051,26012.5,100,1.896206,2838755.369,1684.8606,
NTu,2052,26012.5,100,1.798878,2634762.9543,1623.1953,
NTu,2053,26012.5,100,1.70672,2445371.9107,1563.7685,
NTu,2054,26012.5,100,1.619442,2269506.5021,1506.4881,
NTu,2055,26012.5,100,1.536773,2106178.2742,1451.2678,
NTu,2056,26012.5,100,1.45846,1954477.4342,1398.0263,
NTu,2057,26012.5,100,1.384263,1813565.3826,1346.6868,
NTu,2058,26012.5,100,1.313956,1682668.1658,1297.177,
NTu,2059,26012.5,100,1.247327,1561070.6906,1249.4281,
NTu,2060,26012.5,100,1.184176,1448111.5825,1203.3751,
NTu,2061,26012.5,100,1.124314,1343178.5963,1158.9558,
NTu,2062,26012.5,100,1.067563,1245704.5043,1116.1113,
NTu,2063,26012.5,100,1.013756,1155163.4024,1074.7853,
NTu,2064,26012.5,100,0.962734,1071067.3811,1034.9239,
NTu,2065,26012.5,100,0.914348,992963.5176,996.4755,
