Year,Delta_bar_project_tCO2ehayr,s2_sampling_tCO2eyr2,s2_model,s2_delta_bar_tCO2ehayr2,s_delta_bar_tCO2ehayr,U_pct_total,exceeds_10pct_threshold
2026,,0,0,0,0,,FALSE
2027,48.078221,1374437624,0,1.098684107,1.04818133,4.2731,FALSE
2028,25.750214,381179868.8,0,0.304703725,0.55199975,4.2016,FALSE
2029,16.532136,152147764.3,0,0.121622348,0.34874396,4.1346,FALSE
2030,11.585289,72630194.41,0,0.058058393,0.24095309,4.0764,FALSE
2031,8.851685,41657952.87,0,0.033300115,0.18248319,4.0407,FALSE
2032,7.279186,28041376.91,0,0.022415434,0.14971785,4.0313,FALSE
2033,6.322288,21283025.53,0,0.017013011,0.13043393,4.0436,FALSE
2034,5.695741,17500937.96,0,0.013989724,0.11827816,4.0702,FALSE
2035,5.249542,15120364.87,0,0.012086765,0.10993982,4.1048,FALSE
2036,4.904446,13449492.12,0,0.01075112,0.10368761,4.1437,FALSE
2037,4.618378,12164919.04,0,0.009724271,0.09861172,4.185,FALSE
2038,4.368837,11108108.79,0,0.008879488,0.09423104,4.2275,FALSE
2039,4.143656,10198137.65,0,0.008152085,0.0902889,4.2708,FALSE
2040,3.93613,9391922.941,0,0.007507621,0.08664653,4.3146,FALSE
2041,3.742454,8665308.726,0,0.006926787,0.08322732,4.3588,FALSE
2042,3.560372,8003819.109,0,0.006398012,0.07998758,4.4034,FALSE
2043,3.388455,7398054.798,0,0.005913783,0.07690112,4.4482,FALSE
2044,3.225731,6841369.937,0,0.005468785,0.07395124,4.4934,FALSE
2045,3.071476,6328684.474,0,0.00505896,0.07112637,4.5388,FALSE
2046,2.925116,5855867.293,0,0.004681004,0.06841786,4.5844,FALSE
2047,2.786161,5419408.422,0,0.004332112,0.06581878,4.6302,FALSE
2048,2.654183,5016238.828,0,0.004009831,0.06332322,4.6761,FALSE
2049,2.528791,4643626.404,0,0.003711975,0.06092598,4.7222,FALSE
2050,2.409625,4299111.923,0,0.003436581,0.05862236,4.7684,FALSE
2051,2.296352,3980466.51,0,0.003181865,0.05640802,4.8146,FALSE
2052,2.18866,3685661.131,0,0.002946207,0.05427897,4.8608,FALSE
2053,2.086254,3412843.175,0,0.002728124,0.05223145,4.9071,FALSE
2054,1.988859,3160317.486,0,0.002526263,0.05026194,4.9533,FALSE
2055,1.896215,2926530.439,0,0.00233938,0.04836714,4.9994,FALSE
2056,1.808075,2710056.213,0,0.002166337,0.04654393,5.0455,FALSE
2057,1.724208,2509584.787,0,0.002006087,0.04478936,5.0914,FALSE
2058,1.644395,2323911.323,0,0.001857665,0.04310064,5.1373,FALSE
2059,1.56843,2151926.724,0,0.001720186,0.04147512,5.183,FALSE
2060,1.496117,1992609.181,0,0.001592832,0.0399103,5.2285,FALSE
2061,1.42727,1845016.598,0,0.001474851,0.03840379,5.2738,FALSE
2062,1.361717,1708279.772,0,0.001365548,0.03695331,5.3189,FALSE
2063,1.29929,1581596.245,0,0.001264281,0.03555672,5.3638,FALSE
2064,1.239833,1464224.747,0,0.001170457,0.03421195,5.4084,FALSE
2065,1.183199,1355480.169,0,0.00108353,0.03291702,5.4528,FALSE
