Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0237,Regenerative carbon Alliance,Regenerative carbon Alliance,,L32,Lanyuak,-0.75,35.89,No crop,Top Soil,Moist,,2.98,25.3,32.0,,42.7,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0238,Regenerative carbon Alliance,Regenerative carbon Alliance,,L51,Eor Emayian,-0.83718,35.88608,No crop,Top Soil,Moist,,2.74,23.3,32.0,,44.7,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0269,Regenerative carbon Alliance,Regenerative carbon Alliance,,ADU05,Eor Emayian,-0.87,35.88,No crop,Top Soil,Moist,,2.62,47.3,16.0,,36.7,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0096,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn01,Eor Emayian,-0.86886,35.88786,No crop,Top Soil,Moist,,3.59,23.6,33.6,,42.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0097,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn02,Eor Emayian,-0.89711,35.88157,No crop,Top Soil,Moist,,3.03,29.6,25.6,,44.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0098,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn013,Eor Emayian,-0.89578,35.89325,No crop,Top Soil,Moist,,5.44,25.6,35.6,,38.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0099,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn014,Eor Emayian,-0.89644,35.88452,No crop,Top Soil,Moist,,3.46,23.6,31.6,,44.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0100,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn015,Eor Emayian,-0.92323,35.88156,No crop,Top Soil,Moist,,4.9,39.6,29.6,,30.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0101,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn02,Eor Emayian,-0.85108,35.89442,No crop,Top Soil,Moist,,2.99,23.6,31.6,,44.8,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0102,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn03,Eor Emayian,-0.86893,35.88728,No crop,Top Soil,Moist,,3.32,21.6,35.6,,42.8,ANm
