Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0004,Regenerative carbon Alliance,Regenerative carbon Alliance,,A31,Adu,-2.854465,39.998128,No crop,Top Soil,Moist,,2.4,37.3,12.0,,50.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0005,Regenerative carbon Alliance,Regenerative carbon Alliance,,A32,Adu,-2.854631,39.998457,No crop,Top Soil,Moist,,3.09,37.3,14.0,,48.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0006,Regenerative carbon Alliance,Regenerative carbon Alliance,,A33,Adu,-2.845434,39.997652,No crop,Top Soil,Moist,,3.2,43.3,12.0,,44.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0007,Regenerative carbon Alliance,Regenerative carbon Alliance,,A34,Adu,-2.845097,39.997695,No crop,Top Soil,Moist,,4.26,35.3,14.0,,50.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0008,Regenerative carbon Alliance,Regenerative carbon Alliance,,A35,Adu,-2.845439,40.013254,No crop,Top Soil,Moist,,3.85,27.3,12.0,,60.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0009,Regenerative carbon Alliance,Regenerative carbon Alliance,,M78,Adu,-2.844454,40.0123,No crop,Top Soil,Moist,,9.59,10.6,36.0,,53.4,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0011,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU005,Adu,-2.8447,40.0128,No crop,Top Soil,Moist,,2.66,6.56,20.0,,73.44,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0012,Regenerative carbon Alliance,Regenerative carbon Alliance,,A37,Adu,-2.844988,40.013172,No crop,Top Soil,Moist,,3.08,27.3,12.0,,60.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0013,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU006,Adu,-2.84494,40.0129,No crop,Top Soil,Moist,,4.03,19.3,26.0,,54.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0014,Regenerative carbon Alliance,Regenerative carbon Alliance,,A38,Adu,-2.844844,40.012167,No crop,Top Soil,Moist,,4.12,22.6,16.0,,61.4,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0015,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU007,Adu,-2.84485,40.0121,No crop,Top Soil,Moist,,4.07,10.6,28.0,,61.4,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0016,Regenerative carbon Alliance,Regenerative carbon Alliance,,A39,Adu,-2.844997,40.011873,No crop,Top Soil,Moist,,4.05,31.3,10.0,,58.7,VRe
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0017,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU008,Adu,-2.84498,40.0119,No crop,Top Soil,Moist,,4.02,73.3,6.0,,20.7,VRe
