Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0218,Regenerative carbon Alliance,Regenerative carbon Alliance,,M75,Mumberes,0.052757,35.5500321,No crop,Top Soil,Moist,,6.47,27.3,32,,40.7,198.14375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0217,Regenerative carbon Alliance,Regenerative carbon Alliance,,M74,Mumberes,0.0398834,35.5344267,No crop,Top Soil,Moist,,4.41,19.3,24,,56.7,135.05625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0216,Regenerative carbon Alliance,Regenerative carbon Alliance,,M73,Mumberes,-0.0068095,35.5644775,No crop,Top Soil,Moist,,3.14,19.3,22,,58.7,96.1625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0215,Regenerative carbon Alliance,Regenerative carbon Alliance,,M72,Mumberes,-0.008234,35.5860267,No crop,Top Soil,Moist,,4.85,19.3,20,,60.7,148.53125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0214,Regenerative carbon Alliance,Regenerative carbon Alliance,,M71,Mumberes,0.032548,35.5050706,No crop,Top Soil,Moist,,2.65,13.3,26,1,60.7,81.15625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0211,Regenerative carbon Alliance,Regenerative carbon Alliance,,M68,Mumberes,-0.034043,35.620116,No crop,Top Soil,Moist,,3.45,13.3,20,,66.7,105.65625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0212,Regenerative carbon Alliance,Regenerative carbon Alliance,,M69,Mumberes,0.025187,35.569348,No crop,Top Soil,Moist,,3.35,15.3,22,,62.7,102.59375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0219,Regenerative carbon Alliance,Regenerative carbon Alliance,,M76,Mumberes,0.0325315,35.4974575,No crop,Top Soil,Moist,,2.08,15.3,22,,62.7,63.7
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0210,Regenerative carbon Alliance,Regenerative carbon Alliance,,M67,Mumberes,0.0699931,35.5574947,No crop,Top Soil,Moist,,6.87,23.3,28,,48.7,210.39375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0209,Regenerative carbon Alliance,Regenerative carbon Alliance,,M66,Mumberes,-0.027472,35.612269,No crop,Top Soil,Moist,,3.02,23.3,24,,52.7,92.4875
