Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0239,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU08,Mumberes,-0.02,35.58,Corn,Top Soil,Moist,,5.13,25.3,26.0,,48.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0240,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU15,Mumberes,-0.022,35.582,Corn,Top Soil,Moist,,5.13,27.3,16.0,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0241,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU16,Mumberes,-0.025,35.585,Potato,Top Soil,Moist,,4.22,19.3,22.0,,58.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0242,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU26,Mumberes,-0.03,35.588,Potato,Top Soil,Moist,,4.66,21.3,22.0,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0243,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU38,Mumberes,-0.035,35.59,Corn,Top Soil,Moist,,3.18,13.3,24.0,,62.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0244,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU41,Mumberes,-0.037,35.592,Peas,Top Soil,Moist,,3.77,17.3,18.0,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0245,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU63,Mumberes,-0.018,35.6,Irish Potato,Top Soil,Moist,,3.82,15.3,20.0,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0246,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU62,Mumberes,-0.015,35.625,Corn,Top Soil,Moist,,4.74,19.3,16.0,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0247,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU48,Mumberes,-0.018,35.6,No crop,Top Soil,Moist,,2.93,23.3,24.0,,52.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0248,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU68,Mumberes,-0.029,35.578,Corn,Top Soil,Moist,,4.17,21.3,26.0,,52.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0249,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU74,Mumberes,-0.031,35.5805,Corn,Top Soil,Moist,,5.71,21.3,22.0,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0250,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU78,Mumberes,-0.0335,35.5795,Corn,Top Soil,Moist,,3.16,21.3,20.0,,58.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0251,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU79,Mumberes,-0.034,35.5798,Corn,Top Soil,Moist,,4.23,13.3,16.0,,70.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0252,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU83,Mumberes,-0.036,35.5802,Corn,Top Soil,Moist,,5.97,19.3,18.0,,62.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0253,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU86,Mumberes,-0.0385,35.5765,Kale,Top Soil,Moist,,5.31,23.3,22.0,,54.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0254,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU89,Mumberes,-0.04,35.577,Kale,Top Soil,Moist,,4.32,17.3,14.0,,68.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0255,Regenerative carbon Alliance,Regenerative carbon Alliance,,K02,Kabianga,-0.452,35.18,Tea,Top Soil,Moist,,7.75,25.3,22.0,,52.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0256,Regenerative carbon Alliance,Regenerative carbon Alliance,,K03,Kabianga,-0.455,35.185,Tea,Top Soil,Moist,,5.6,15.3,16.0,,68.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0257,Regenerative carbon Alliance,Regenerative carbon Alliance,,K04,Kabianga,-0.457,35.19,Tea,Top Soil,Moist,,4.91,19.3,20.0,,60.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0258,Regenerative carbon Alliance,Regenerative carbon Alliance,,K15,Kabianga,-0.47,35.17,Tea,Top Soil,Moist,,5.28,17.3,20.0,,62.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0259,Regenerative carbon Alliance,Regenerative carbon Alliance,,K17,Kabianga,-0.48,35.165,Tea,Top Soil,Moist,,8.9,31.3,22.0,,46.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0260,Regenerative carbon Alliance,Regenerative carbon Alliance,,K20,Kabianga,-0.49,35.16,Tea,Top Soil,Moist,,5.16,21.3,22.0,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0261,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU022,Kabianga,-0.495,35.175,Tea,Top Soil,Moist,,4.26,23.3,20.0,,56.7,NTu
