Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0103,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn04,Eor Emayian,-0.86953,35.88717,Corn,Top Soil,Moist,,3.86,21.6,37.6,1.01,40.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0105,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn06,Eor Emayian,-0.86893,35.88903,No crop,Top Soil,Moist,,4.79,23.6,35.6,1.06,40.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0111,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE50,Eor Emayian,-0.85136,35.89619,Potato,Top Soil,Moist,,6.21,25.6,33.6,0.93,40.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0112,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE51,Eor Emayian,-0.83719,35.88608,Cabbage,Top Soil,Moist,,5.41,27.6,35.6,0.87,36.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0113,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE52,Eor Emayian,-0.84026,35.89593,Peas,Top Soil,Moist,,3.0,23.6,29.6,1.05,46.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0114,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE53,Eor Emayian,-0.84635,35.89275,Potato,Top Soil,Moist,,4.5,27.6,29.6,0.9,42.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0115,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE54,Eor Emayian,-0.84242,35.89262,Potato,Top Soil,Moist,,3.46,23.6,31.6,0.96,44.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0116,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE55,Eor Emayian,-0.84147,35.89258,Potato,Top Soil,Moist,,4.2,21.6,35.6,0.95,42.8,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0171,Regenerative carbon Alliance,Regenerative carbon Alliance,,L57,Lanyuak,-0.79433,35.8938,Potato,Top Soil,Moist,,4.62,29.3,34.0,0.93,36.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0172,Regenerative carbon Alliance,Regenerative carbon Alliance,,L58,Lanyuak,-0.78786,35.89042,Corn,Top Soil,Moist,,4.89,29.3,30.0,0.9,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0173,Regenerative carbon Alliance,Regenerative carbon Alliance,,L59,Lanyuak,-0.78242,35.89213,Potato,Top Soil,Moist,,4.19,25.3,34.0,0.96,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0174,Regenerative carbon Alliance,Regenerative carbon Alliance,,L60,Lanyuak,-0.78267,35.893,Corn,Top Soil,Moist,,4.24,31.3,26.0,1.05,42.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0175,Regenerative carbon Alliance,Regenerative carbon Alliance,,L61,Lanyuak,-0.77419,35.89103,Potato,Top Soil,Moist,,5.54,27.3,32.0,0.95,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0176,Regenerative carbon Alliance,Regenerative carbon Alliance,,L62,Lanyuak,-0.76992,35.88869,"Onion, Arrowroots",Top Soil,Moist,,4.32,27.3,32.0,1.07,40.7,ANm
