Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0135,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA4,Kabianga,-0.4287994,35.144828,Tea,Top Soil,Moist,,5.74,29.6,19.6,0.9,50.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0136,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA50,Kabianga,-0.4173038,35.1046031,Tea,Top Soil,Moist,,3.86,21.6,19.6,1.03,58.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0137,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA50,Kabianga,-0.4173038,35.1046031,Tea,Top Soil,Moist,,2.64,19.6,13.6,0.81,66.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0138,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA51,Kabianga,-0.4222144,35.1387888,Tea,Top Soil,Moist,,3.6,15.6,19.6,1.09,64.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0139,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA52,Kabianga,-0.3989269,35.1023141,Tea,Top Soil,Moist,,3.33,23.6,21.6,1.09,54.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0140,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA53,Kabianga,-0.4050438,35.1822397,Tea,Top Soil,Moist,,6.18,21.6,25.6,1.11,52.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0149,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP50,Kipsigis,-0.614858,35.25533,Tea,Top Soil,Moist,,4.28,21.6,25.6,1.16,52.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0150,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP51,Kipsigis,-0.617925,35.28242,Tea,Top Soil,Moist,,4.03,25.6,25.6,1.03,48.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0151,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP52,Kipsigis,-0.602682,35.25003,"Tea, Sweet potato",Top Soil,Moist,,2.52,23.6,19.6,1.13,56.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0152,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP54,Kipsigis,-0.601893,35.24019,Tea,Top Soil,Moist,,6.05,23.6,27.6,1.03,48.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0222,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU18R,Mumberes,0.03339,35.57908,Corn,Top Soil,Moist,,5.67,15.3,16.0,1.03,68.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0223,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU24R,Mumberes,0.04247,35.57331,Potato,Top Soil,Moist,,5.95,23.3,20.0,1.08,56.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0226,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU31R,Mumberes,-0.031,35.62242,Corn,Top Soil,Moist,,3.26,11.3,18.0,1.09,70.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0227,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU35R,Mumberes,0.03833,35.57606,Corn,Top Soil,Moist,,5.87,15.3,22.0,1.02,62.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0234,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU7R,Mumberes,0.03028,35.58417,Corn,Top Soil,Moist,,3.59,19.3,20.0,0.93,60.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0235,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU81R,Mumberes,0.02947,35.58547,Corn,Top Soil,Moist,,5.77,19.3,20.0,1.01,60.7,NTu
