Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0237,Regenerative carbon Alliance,Regenerative carbon Alliance,,L32,Lanyuak,-0.75,35.89,Potato,Top Soil,Moist,,2.98,25.3,32,,42.7,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0238,Regenerative carbon Alliance,Regenerative carbon Alliance,,L51,Eor Emayian,-0.83718,35.88608,Potato,Top Soil,Moist,,2.74,23.3,32,,44.7,ANm
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0239,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU08,Mumberes,-0.02,35.58,Corn,Top Soil,Moist,,5.13,25.3,26,,48.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0240,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU15,Mumberes,-0.022,35.582,Corn,Top Soil,Moist,,5.13,27.3,16,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0241,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU16,Mumberes,-0.025,35.585,Potato,Top Soil,Moist,,4.22,19.3,22,,58.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0242,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU26,Mumberes,-0.03,35.588,Potato,Top Soil,Moist,,4.66,21.3,22,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0243,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU38,Mumberes,-0.035,35.59,Corn,Top Soil,Moist,,3.18,13.3,24,,62.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0244,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU41,Mumberes,-0.037,35.592,Peas,Top Soil,Moist,,3.77,17.3,18,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0245,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU63,Mumberes,-0.018,35.6,Irish Potato,Top Soil,Moist,,3.82,15.3,20,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0246,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU62,Mumberes,-0.015,35.625,Corn,Top Soil,Moist,,4.74,19.3,16,,64.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0247,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU48,Mumberes,-0.018,35.6,No crop,Top Soil,Moist,,2.93,23.3,24,,52.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0248,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU68,Mumberes,-0.029,35.578,Corn,Top Soil,Moist,,4.17,21.3,26,,52.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0249,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU74,Mumberes,-0.031,35.5805,Corn,Top Soil,Moist,,5.71,21.3,22,,56.7,NTu
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0250,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU78,Mumberes,-0.0335,35.5795,Corn,Top Soil,Moist,,3.16,21.3,20,,58.7,NTu
