Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0001,Regenerative carbon Alliance,Regenerative carbon Alliance,,A28,Adu,-2.838116,39.989316,No crop,Top Soil,Moist,,2.05,65.3,12.0,,22.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0002,Regenerative carbon Alliance,Regenerative carbon Alliance,,A29,Adu,-2.837954,39.984007,No crop,Top Soil,Moist,,1.61,69.3,12.0,,18.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0003,Regenerative carbon Alliance,Regenerative carbon Alliance,,A30,Adu,-2.838124,39.984187,No crop,Top Soil,Moist,,2.28,69.3,6.0,,24.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0010,Regenerative carbon Alliance,Regenerative carbon Alliance,,A36,Adu,-2.842272,40.012732,No crop,Top Soil,Moist,,2.57,31.3,8.0,,60.7,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0024,Regenerative carbon Alliance,Regenerative carbon Alliance,,A50,Adu,-2.788366,39.993844,No crop,Top Soil,Moist,,0.69,77.3,12.0,1.62,10.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0025,Regenerative carbon Alliance,Regenerative carbon Alliance,,A51,Adu,-2.787365,39.996726,No crop,Top Soil,Moist,,0.53,83.3,8.0,,8.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0026,Regenerative carbon Alliance,Regenerative carbon Alliance,,A52,Adu,-2.789635,40.000616,No crop,Top Soil,Moist,,2.42,87.3,10.0,,2.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0027,Regenerative carbon Alliance,Regenerative carbon Alliance,,A54,Adu,-2.789616,39.998711,No crop,Top Soil,Moist,,0.67,77.3,10.0,,12.7,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0028,Regenerative carbon Alliance,Regenerative carbon Alliance,,A55,Adu,-2.790106,39.998783,No crop,Top Soil,Moist,,1.13,73.3,8.0,1.34,18.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0029,Regenerative carbon Alliance,Regenerative carbon Alliance,,A56,Adu,-2.788362,39.998937,No crop,Top Soil,Moist,,0.55,73.3,10.0,,16.7,ARl
