Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0068,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu2,Adu,-2.783438,39.972967,No crop,Top Soil,Moist,,2.51,49.6,11.6,,38.8,107.4436875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0058,Regenerative carbon Alliance,Regenerative carbon Alliance,,A86,Adu,-2.8331897,39.9516542,No crop,Top Soil,Moist,,0.58,73.6,9.64,,16.76,24.827625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0057,Regenerative carbon Alliance,Regenerative carbon Alliance,,A85,Adu,-2.8399589,39.9644516,No crop,Top Soil,Moist,,5.19,43.6,13.6,,42.8,222.1644375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0056,Regenerative carbon Alliance,Regenerative carbon Alliance,,A84,Adu,-2.835749,39.979416,No crop,Top Soil,Moist,,0.43,77.6,9.64,,12.76,18.4066875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0055,Regenerative carbon Alliance,Regenerative carbon Alliance,,A83,Adu,-2.8355496,39.979548,No crop,Top Soil,Moist,,0.5,81.6,5.64,,12.76,21.403125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0054,Regenerative carbon Alliance,Regenerative carbon Alliance,,A82,Adu,-2.793239,39.9931439,No crop,Top Soil,Moist,,0.38,79.6,9.64,,10.76,16.266375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0053,Regenerative carbon Alliance,Regenerative carbon Alliance,,A81,Adu,-2.7877802,39.9934819,No crop,Top Soil,Moist,,0.25,87.6,5.64,,6.76,10.7015625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0052,Regenerative carbon Alliance,Regenerative carbon Alliance,,A80,Adu,-2.7876372,39.9940019,No crop,Top Soil,Moist,,0.52,89.6,3.64,,6.76,22.25925
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0051,Regenerative carbon Alliance,Regenerative carbon Alliance,,A79,Adu,-2.8309601,39.9386349,No crop,Top Soil,Moist,,0.31,83.6,3.64,1.49,12.76,13.2699375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0050,Regenerative carbon Alliance,Regenerative carbon Alliance,,A78,Adu,-2.8311657,39.9385449,No crop,Top Soil,Moist,,1.02,71.6,3.64,1.38,24.76,43.662375
