Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0115,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE54,Eor Emayian,-0.84242,35.89262,No crop,Top Soil,Moist,,3.46,23.6,31.6,0.96,44.8,100.29675
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0116,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE55,Eor Emayian,-0.84147,35.89258,No crop,Top Soil,Moist,,4.2,21.6,35.6,0.95,42.8,121.7475
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0117,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE56,Eor Emayian,-0.83955,35.89432,No crop,Top Soil,Moist,,2.78,31.6,27.6,,40.8,80.58525
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0118,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE57,Eor Emayian,-0.84075,35.89267,No crop,Top Soil,Moist,,3.36,29.6,31.6,,38.8,97.398
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0121,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE60,Eor Emayian,-0.84248,35.89392,No crop,Top Soil,Moist,,3.3,29.6,33.6,,36.8,95.65875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0120,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE59,Eor Emayian,-0.83058,35.89364,No crop,Top Soil,Moist,,4.49,23.6,35.6,,40.8,130.153875
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0114,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE53,Eor Emayian,-0.84635,35.89275,No crop,Top Soil,Moist,,4.5,27.6,29.6,0.9,42.8,130.44375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0122,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE61,Eor Emayian,-0.83926,35.89578,No crop,Top Soil,Moist,,3.8,25.6,33.6,,40.8,110.1525
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0123,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE62,Eor Emayian,-0.84575,35.89623,No crop,Top Soil,Moist,,3.18,31.6,31.6,,36.8,92.18025
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0124,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE63,Eor Emayian,-0.84235,35.89461,No crop,Top Soil,Moist,,4.25,29.6,37.6,,32.8,123.196875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0125,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE64,Eor Emayian,-0.83833,35.89381,No crop,Top Soil,Moist,,4.41,27.6,35.6,,36.8,127.834875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0119,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE58,Eor Emayian,-0.83858,35.89262,No crop,Top Soil,Moist,,2.94,29.6,33.6,,36.8,85.22325
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0113,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE52,Eor Emayian,-0.84026,35.89593,No crop,Top Soil,Moist,,3,23.6,29.6,1.05,46.8,86.9625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0109,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn10,Eor Emayian,-0.87739,35.88997,No crop,Top Soil,Moist,,2.62,35.6,29.6,,34.8,75.94725
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0111,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE50,Eor Emayian,-0.85136,35.89619,No crop,Top Soil,Moist,,6.21,25.6,33.6,0.93,40.8,180.012375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0110,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn11,Eor Emayian,-0.87756,35.88953,No crop,Top Soil,Moist,,2.64,21.6,35.6,,42.8,76.527
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0108,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn09,Eor Emayian,-0.87775,35.88969,No crop,Top Soil,Moist,,2.47,19.6,25.6,,54.8,71.599125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0107,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn08,Eor Emayian,-0.86881,35.88975,No crop,Top Soil,Moist,,3.78,21.6,35.6,,42.8,109.57275
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0106,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn07,Eor Emayian,-0.86839,35.89033,No crop,Top Soil,Moist,,5.26,29.6,35.6,,34.8,152.47425
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0104,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn05,Eor Emayian,-0.86893,35.88831,No crop,Top Soil,Moist,,3.99,23.6,35.6,,40.8,115.660125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0103,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn04,Eor Emayian,-0.86953,35.88717,No crop,Top Soil,Moist,,3.86,21.6,37.6,1.01,40.8,111.89175
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0101,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn02,Eor Emayian,-0.85108,35.89442,No crop,Top Soil,Moist,,2.99,23.6,31.6,,44.8,86.672625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0100,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn015,Eor Emayian,-0.92323,35.88156,No crop,Top Soil,Moist,,4.9,39.6,29.6,,30.8,142.03875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0099,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn014,Eor Emayian,-0.89644,35.88452,No crop,Top Soil,Moist,,3.46,23.6,31.6,,44.8,100.29675
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0098,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn013,Eor Emayian,-0.89578,35.89325,No crop,Top Soil,Moist,,5.44,25.6,35.6,,38.8,157.692
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0097,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn02,Eor Emayian,-0.89711,35.88157,No crop,Top Soil,Moist,,3.03,29.6,25.6,,44.8,87.832125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0096,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn01,Eor Emayian,-0.86886,35.88786,No crop,Top Soil,Moist,,3.59,23.6,33.6,,42.8,104.065125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0112,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE51,Eor Emayian,-0.83719,35.88608,No crop,Top Soil,Moist,,5.41,27.6,35.6,0.87,36.8,156.822375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0105,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn06,Eor Emayian,-0.86893,35.88903,No crop,Top Soil,Moist,,4.79,23.6,35.6,1.06,40.8,138.850125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0102,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn03,Eor Emayian,-0.86893,35.88728,No crop,Top Soil,Moist,,3.32,21.6,35.6,,42.8,96.2385
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0269,Regenerative carbon Alliance,Regenerative carbon Alliance,,ADU05,Eor Emayian,-0.87,35.88,No crop,Top Soil,Moist,,2.62,47.3,16,,36.7,75.94725
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0238,Regenerative carbon Alliance,Regenerative carbon Alliance,,L51,Eor Emayian,-0.83718,35.88608,No crop,Top Soil,Moist,,2.74,23.3,32,,44.7,79.42575
