Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0147,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA62,Kabianga,-0.4451531,35.078239,No crop,Top Soil,Moist,,4.16,15.6,19.6,,64.8,125.424
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0127,Regenerative carbon Alliance,Regenerative carbon Alliance,,K11,Kabianga,-0.45589,35.19161,No crop,Top Soil,Moist,,4.4,21.6,19.6,,58.8,132.66
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0128,Regenerative carbon Alliance,Regenerative carbon Alliance,,K12,Kabianga,-0.475399764,35.12152736,No crop,Top Soil,Moist,,4.66,17.6,19.6,,62.8,140.499
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0129,Regenerative carbon Alliance,Regenerative carbon Alliance,,K18,Kabianga,-0.51053,35.16083,No crop,Top Soil,Moist,,5.51,15.6,21.6,,62.8,166.1265
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0130,Regenerative carbon Alliance,Regenerative carbon Alliance,,K26,Kabianga,-0.48964,35.13758,No crop,Top Soil,Moist,,4.21,13.6,27.6,,58.8,126.9315
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0132,Regenerative carbon Alliance,Regenerative carbon Alliance,,K7,Kabianga,-0.495222436,35.13841396,No crop,Top Soil,Moist,,4.07,19.6,17.6,,62.8,122.7105
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0133,Regenerative carbon Alliance,Regenerative carbon Alliance,,K9,Kabianga,-0.46361,35.18181,No crop,Top Soil,Moist,,8.85,25.6,23.6,,50.8,266.8275
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0134,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA13,Kabianga,-0.44298708,35.131672,No crop,Top Soil,Moist,,5.63,23.6,19.6,,56.8,169.7445
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0135,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA4,Kabianga,-0.4287994,35.144828,No crop,Top Soil,Moist,,5.74,29.6,19.6,0.9,50.8,173.061
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0136,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA50,Kabianga,-0.4173038,35.1046031,No crop,Top Soil,Moist,,3.86,21.6,19.6,1.03,58.8,116.379
