Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0264,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP67,Kipsigis,-0.5972,35.25127,No crop,Top Soil,Moist,,2.9,11.3,20,,68.7,94.6125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0151,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP52,Kipsigis,-0.602682,35.25003,No crop,Top Soil,Moist,,2.52,23.6,19.6,1.13,56.8,82.215
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0152,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP54,Kipsigis,-0.601893,35.24019,No crop,Top Soil,Moist,,6.05,23.6,27.6,1.03,48.8,197.38125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0149,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP50,Kipsigis,-0.614858,35.25533,No crop,Top Soil,Moist,,4.28,21.6,25.6,1.16,52.8,139.635
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0263,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP66,Kipsigis,-0.60035,35.22877,No crop,Top Soil,Moist,,4.49,25.3,20,,54.7,146.48625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0154,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP57,Kipsigis,-0.59136,35.23817,No crop,Top Soil,Moist,,5.31,19.6,25.6,,54.8,173.23875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0155,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP58,Kipsigis,-0.58694,35.23189,No crop,Top Soil,Moist,,4.26,17.6,23.6,,58.8,138.9825
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0156,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP59,Kipsigis,-0.58308,35.22897,No crop,Top Soil,Moist,,3.83,3.28,19.3,,77.42,124.95375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0157,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP60,Kipsigis,-0.57536,35.23066,No crop,Top Soil,Moist,,3.85,15.6,21.6,,62.8,125.60625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0158,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP61,Kipsigis,-0.56414,35.23886,No crop,Top Soil,Moist,,3.75,37.6,15.6,,46.8,122.34375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0159,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP62,Kipsigis,-0.55772,35.24239,No crop,Top Soil,Moist,,3.9,23.3,15.3,,61.4,127.2375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0160,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP63,Kipsigis,-0.56914,35.24417,No crop,Top Soil,Moist,,4.36,19.3,19.3,,61.4,142.245
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0161,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP64,Kipsigis,-0.57834,35.26203,No crop,Top Soil,Moist,,3.77,31.6,23.6,,44.8,122.99625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0162,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP65,Kipsigis,-0.58817,35.24797,No crop,Top Soil,Moist,,4.33,29.6,19.6,,50.8,141.26625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0163,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU12R,Kipsigis,-0.51864,35.27775,No crop,Top Soil,Moist,,2.91,17.6,17.6,,64.8,94.93875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0164,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU27R,Kipsigis,-0.51128,35.27289,No crop,Top Soil,Moist,,4.67,27.6,21.6,,50.8,152.35875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0153,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP56,Kipsigis,-0.600335,35.22866,No crop,Top Soil,Moist,,3.71,21.6,27.6,,50.8,121.03875
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0150,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP51,Kipsigis,-0.617925,35.28242,No crop,Top Soil,Moist,,4.03,25.6,25.6,1.03,48.8,131.47875
