Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0175,Regenerative carbon Alliance,Regenerative carbon Alliance,,L61,Lanyuak,-0.77419,35.89103,No crop,Top Soil,Moist,,5.54,27.3,32,0.95,40.7,162.322
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0174,Regenerative carbon Alliance,Regenerative carbon Alliance,,L60,Lanyuak,-0.78267,35.893,No crop,Top Soil,Moist,,4.24,31.3,26,1.05,42.7,124.232
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0173,Regenerative carbon Alliance,Regenerative carbon Alliance,,L59,Lanyuak,-0.78242,35.89213,No crop,Top Soil,Moist,,4.19,25.3,34,0.96,40.7,122.767
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0186,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN23,Lanyuak,-0.72525,35.89667,No crop,Top Soil,Moist,,4.04,41.3,22,,36.7,118.372
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0176,Regenerative carbon Alliance,Regenerative carbon Alliance,,L62,Lanyuak,-0.76992,35.88869,No crop,Top Soil,Moist,,4.32,27.3,32,1.07,40.7,126.576
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0187,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN24,Lanyuak,-0.71828,35.89794,No crop,Top Soil,Moist,,3.73,37.3,18,,44.7,109.289
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0188,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN25,Lanyuak,-0.73644,35.89231,No crop,Top Soil,Moist,,4.55,25.3,32,,42.7,133.315
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0189,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN27,Lanyuak,-0.72028,35.89939,No crop,Top Soil,Moist,,1.06,53.3,18,,28.7,31.058
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0190,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN3,Lanyuak,-0.71775,35.89814,No crop,Top Soil,Moist,,4.61,45.3,20,,34.7,135.073
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0191,Regenerative carbon Alliance,Regenerative carbon Alliance,,LNN9,Lanyuak,-0.739,35.88961,No crop,Top Soil,Moist,,4.59,39.3,22,,38.7,134.487
